,model_name,mmbench,oodcv,scienceqa,seedbench,ai2d,avg
0,MoE-LLaVA-Phi2-2.7B-4e,0.04277639836072922,0.0951814353466034,0.06834786385297775,0.07348461449146271,0.08513247221708298,0.07298455685377121
1,MoE-LLaVA-Qwen-1.8B-4e,0.04046046733856201,0.06377416104078293,0.06579165160655975,0.06568776071071625,0.09385150671005249,0.06591310948133469
2,MoE-LLaVA-StableLM-1.6B-4e,0.017757689580321312,0.042691003531217575,0.07070297747850418,0.03888465091586113,0.13096259534358978,0.0601997833698988
3,Monkey,0.06847038120031357,0.2682107388973236,0.04642421007156372,0.06565795093774796,0.05371043086051941,0.10049474239349365
4,Qwen-VL,0.08694521337747574,0.0789865106344223,0.05848648399114609,0.06275781989097595,0.07787827402353287,0.0730108603835106
5,Yi-VL-34B,0.05933491885662079,0.01633273996412754,0.05899295210838318,0.12052494287490845,0.10394484549760818,0.07182607986032963
6,Yi-VL-6B,0.056010615080595016,0.07723865658044815,0.07643774896860123,0.13374020159244537,0.13274112343788147,0.09523366913199424
7,cogvlm-chat-hf,0.06187323108315468,0.11888130754232407,0.11180988699197769,0.1195894107222557,0.15722519159317017,0.11387580558657646
8,cogvlm-grounding-generalist-hf,0.1046690121293068,0.13200749456882477,0.15563251078128815,0.15339280664920807,0.15830014646053314,0.14080039411783218
9,internlm-xcomposer2-7b,0.03602356091141701,0.08269158750772476,0.034155115485191345,0.05800700560212135,0.05156761780381203,0.0524889774620533
10,internlm-xcomposer2-vl-7b,0.05952423810958862,0.034602273255586624,0.037841372191905975,0.10169894993305206,0.06235585734248161,0.05920453816652298
11,llava-v1.5-13b,0.0888921245932579,0.020726416260004044,0.12144740670919418,0.1423610895872116,0.17646493017673492,0.10997839346528053
12,llava-v1.5-7b,0.08818995952606201,0.03230508789420128,0.1094270795583725,0.11313647031784058,0.163610577583313,0.10133383497595787
13,llava-v1.6-vicuna-13b,0.061159368604421616,0.022183574736118317,0.09880870580673218,0.11528666317462921,0.026815660297870636,0.0648507945239544
14,llava-v1.6-vicuna-7b,0.0751732662320137,0.037238504737615585,0.10233338177204132,0.11442670226097107,0.02634931169450283,0.0711042333394289
15,mplug-owl2-llama2-7b,0.10654263943433762,0.05392007902264595,0.10693042725324631,0.17900291085243225,0.17116118967533112,0.12351144924759865
16,MobileVLM-1.7B,0.03810878470540047,0.23753824830055237,0.07188013195991516,0.10303434729576111,0.12130856513977051,0.11437401548027992
17,MobileVLM-3B,0.057220231741666794,0.028423113748431206,0.08524782955646515,0.07128824293613434,0.144063800573349,0.07724864371120929
18,MobileVLM_V2-1.7B,0.04572106897830963,0.098231241106987,0.08378569781780243,0.07274013757705688,0.12647151947021484,0.08538993299007416
19,MobileVLM_V2-3B,0.08960791677236557,0.038855526596307755,0.08704522252082825,0.1396958976984024,0.16237224638462067,0.10351536199450492
20,MobileVLM_V2-7B,0.07126647979021072,0.10066007077693939,0.07678750157356262,0.14908097684383392,0.15436430275440216,0.11043186634778976
21,llava-v1.6-mistral-7b,0.06597825139760971,0.026777945458889008,0.09546872228384018,0.10196652263402939,0.014593489468097687,0.060956986248493196
22,Qwen-VL-Chat,0.018790988251566887,0.037046123296022415,0.049963101744651794,0.03947273641824722,0.03095412813127041,0.03524541556835174
23,Monkey-Chat,0.024374371394515038,0.11846524477005005,0.029102075845003128,0.050751447677612305,0.03210702911019325,0.050960033759474756
24,cogagent-vqa-hf,0.015310348942875862,0.10977565497159958,0.028843281790614128,0.04841861501336098,0.043286822736263275,0.04912694469094277
25,llava-v1.6-34b,0.02249705232679844,0.03739842027425766,0.03104241006076336,0.07424377650022507,0.03510291501879692,0.040056914836168286
